id,date,day,month,year,customer_age,age_group,customer_gender,country,state,product_category,sub_category,product,order_quantity,unit_cost,unit_price,profit,cost,revenue
7730,2014-06-25,25,June,2014,30,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,56,38,94
42361,2016-04-22,22,April,2016,30,Young Adults (25-34),M,Canada,British Columbia,Accessories,Hydration Packs,Hydration Pack - 70 oz.,10,21,55,335,210,545
60788,2013-10-15,15,October,2013,24,Youth (<25),M,Germany,Hamburg,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,753,1519,2272
71184,2013-12-12,12,December,2013,26,Young Adults (25-34),F,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1335,2171,3506
87726,2013-08-25,25,August,2013,30,Young Adults (25-34),M,Australia,New South Wales,Accessories,Tires and Tubes,Road Tire Tube,5,1,4,12,5,17
39340,2014-06-02,6,February,2014,46,Adults (35-64),F,Germany,Nordrhein-Westfalen,Accessories,Helmets,"Sport-100 Helmet, Blue",11,13,35,192,143,335
93199,2016-03-07,3,July,2016,23,Youth (<25),F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,9,1,4,26,9,35
3733,2016-03-21,21,March,2016,24,Youth (<25),F,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,7,2,5,13,14,27
81429,2014-03-22,22,March,2014,27,Young Adults (25-34),M,France,Essonne,Accessories,Tires and Tubes,Touring Tire Tube,22,2,5,62,44,106
3912,2013-07-24,24,July,2013,48,Adults (35-64),M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,21,2,5,59,42,101
8563,2016-07-04,7,April,2016,27,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,11,4,10,65,44,109
62659,2011-02-07,2,July,2011,39,Adults (35-64),F,Germany,Saarland,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701,312,1083,1395
101597,2015-03-12,3,December,2015,20,Youth (<25),F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,25,1,4,71,25,96
51743,2016-03-01,3,January,2016,41,Adults (35-64),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 38",3,1252,2295,3060,3756,6816
61563,2011-07-17,17,July,2011,50,Adults (35-64),F,United States,Washington,Bikes,Road Bikes,"Road-350-W Yellow, 42",2,1083,1701,488,2166,2654
21454,2014-04-24,24,April,2014,22,Youth (<25),M,Canada,British Columbia,Accessories,Cleaners,Bike Wash - Dissolver,29,3,8,143,87,230
93187,2014-05-21,21,May,2014,23,Youth (<25),F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,25,1,4,71,25,96
84093,2016-06-02,6,February,2016,34,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,13,2,5,38,26,64
20555,2015-12-29,29,December,2015,39,Adults (35-64),F,France,Nord,Clothing,Caps,AWC Logo Cap,1,7,9,1,7,8
34616,2014-05-21,21,May,2014,29,Young Adults (25-34),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",9,13,35,192,117,309
96273,2016-01-20,20,January,2016,39,Adults (35-64),M,Germany,Hamburg,Accessories,Tires and Tubes,Touring Tire Tube,25,2,5,66,50,116
76026,2015-12-15,15,December,2015,26,Young Adults (25-34),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,10,2,5,29,20,49
16886,2015-11-21,21,November,2015,19,Youth (<25),F,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,28,24,52
5767,2016-03-21,21,March,2016,44,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Road Bottle Cage,28,3,9,163,84,247
38552,2014-05-31,31,May,2014,37,Adults (35-64),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Black",1,13,35,22,13,35
4656,2016-01-06,1,June,2016,28,Young Adults (25-34),F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,13,2,5,36,26,62
53670,2013-11-11,11,November,2013,28,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,951,1252,2203
73707,2015-03-07,3,July,2015,24,Youth (<25),M,United Kingdom,England,Clothing,Socks,"Racing Socks, L",1,3,9,6,3,9
99730,2013-11-21,21,November,2013,59,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,24,1,2,23,24,47
3117,2014-01-25,25,January,2014,40,Adults (35-64),M,France,Nord,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,71,60,131
68215,2015-06-09,6,September,2015,33,Young Adults (25-34),F,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701,550,1083,1633
25620,2014-09-06,9,June,2014,22,Youth (<25),M,Australia,Queensland,Accessories,Fenders,Fender Set - Mountain,28,8,22,293,224,517
54331,2016-03-24,24,March,2016,27,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",3,1266,2320,2884,3798,6682
20445,2015-09-07,9,July,2015,26,Young Adults (25-34),F,United Kingdom,England,Clothing,Caps,AWC Logo Cap,7,7,9,11,49,60
17605,2015-08-24,24,August,2015,37,Adults (35-64),M,United Kingdom,England,Clothing,Caps,AWC Logo Cap,32,7,9,52,224,276
15199,2015-03-12,3,December,2015,27,Young Adults (25-34),M,United States,Washington,Accessories,Bottles and Cages,Road Bottle Cage,6,3,9,24,18,42
90765,2016-04-02,4,February,2016,37,Adults (35-64),F,Germany,Saarland,Accessories,Tires and Tubes,Road Tire Tube,1,1,4,2,1,3
111728,2013-11-25,25,November,2013,26,Young Adults (25-34),M,United Kingdom,England,Bikes,Touring Bikes,"Touring-1000 Yellow, 50",1,1482,2384,807,1482,2289
74883,2013-03-09,3,September,2013,46,Adults (35-64),F,United States,Oregon,Accessories,Tires and Tubes,HL Mountain Tire,29,13,35,496,377,873
60036,2012-09-24,24,September,2012,23,Youth (<25),F,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 56",2,2171,3578,2528,4342,6870
55074,2014-08-02,8,February,2014,43,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,567,1266,1833
81036,2015-12-13,13,December,2015,33,Young Adults (25-34),F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,8,1,4,23,8,31
51041,2015-08-23,23,August,2015,58,Adults (35-64),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,961,1266,2227
12684,2013-11-10,11,October,2013,29,Young Adults (25-34),M,Germany,Hessen,Accessories,Bottles and Cages,Water Bottle - 30 oz.,17,2,5,45,34,79
2271,2014-01-04,1,April,2014,26,Young Adults (25-34),M,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,Road Bottle Cage,2,3,9,10,6,16
111410,2013-12-18,18,December,2013,53,Adults (35-64),F,Australia,New South Wales,Bikes,Touring Bikes,"Touring-1000 Blue, 50",1,1482,2384,592,1482,2074
75748,2015-09-29,29,September,2015,30,Young Adults (25-34),F,France,Val d'Oise,Accessories,Tires and Tubes,LL Road Tire,11,8,21,94,88,182
108720,2014-02-16,16,February,2014,32,Young Adults (25-34),F,Australia,Queensland,Bikes,Touring Bikes,"Touring-1000 Blue, 46",1,1482,2384,521,1482,2003
38137,2015-08-18,18,August,2015,31,Young Adults (25-34),F,Germany,Nordrhein-Westfalen,Accessories,Helmets,"Sport-100 Helmet, Black",9,13,35,157,117,274
96133,2015-12-23,23,December,2015,22,Youth (<25),M,France,Seine et Marne,Accessories,Tires and Tubes,LL Road Tire,1,8,21,9,8,17
35121,2015-10-18,18,October,2015,58,Adults (35-64),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",10,13,35,206,130,336
71145,2015-08-28,28,August,2015,24,Youth (<25),F,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077
9400,2014-06-29,29,June,2014,59,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Mountain Bottle Cage,4,4,10,23,16,39
63596,2014-06-23,23,June,2014,30,Young Adults (25-34),M,France,Moselle,Bikes,Road Bikes,"Road-650 Red, 44",1,487,783,202,487,689
89127,2013-09-23,23,September,2013,47,Adults (35-64),F,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire,14,11,29,236,154,390
2694,2013-08-21,21,August,2013,31,Young Adults (25-34),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,55,38,93
8953,2016-05-18,18,May,2016,27,Young Adults (25-34),F,Germany,Saarland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,2,2,4
86628,2014-03-17,17,March,2014,22,Youth (<25),F,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,21,2,5,40,42,82
63724,2013-04-11,4,November,2013,39,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 38",1,713,1120,161,713,874
90371,2013-10-29,29,October,2013,49,Adults (35-64),M,France,Seine (Paris),Accessories,Tires and Tubes,Mountain Tire Tube,11,2,5,23,22,45
94114,2014-02-21,21,February,2014,53,Adults (35-64),F,France,Seine (Paris),Accessories,Tires and Tubes,LL Mountain Tire,23,9,25,265,207,472
7336,2013-10-14,14,October,2013,25,Young Adults (25-34),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,55,38,93
5061,2015-10-08,10,August,2015,34,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,13,2,5,38,26,64
93127,2015-09-26,26,September,2015,22,Youth (<25),F,France,Seine Saint Denis,Accessories,Tires and Tubes,Patch Kit/8 Patches,30,1,2,19,30,49
4975,2014-03-13,13,March,2014,36,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,73,50,123
61983,2015-11-25,25,November,2015,25,Young Adults (25-34),F,Germany,Hamburg,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443,717,1555,2272
53290,2014-05-21,21,May,2014,36,Adults (35-64),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-400-W Silver, 40",1,420,769,341,420,761
77025,2016-07-14,14,July,2016,39,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,14,1,2,13,14,27
63992,2014-01-27,27,January,2014,42,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-550-W Yellow, 42",1,713,1120,396,713,1109
41233,2015-08-29,29,August,2015,33,Young Adults (25-34),M,Germany,Nordrhein-Westfalen,Accessories,Helmets,"Sport-100 Helmet, Black",16,13,35,279,208,487
52376,2013-02-09,2,September,2013,35,Adults (35-64),F,France,Essonne,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,961,1266,2227
55518,2013-07-30,30,July,2013,32,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1,420,769,188,420,608
76513,2016-04-21,21,April,2016,25,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,HL Mountain Tire,9,13,35,195,117,312
91883,2015-09-24,24,September,2015,55,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,11,2,5,32,22,54
103148,2014-04-17,17,April,2014,29,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,16,1,2,16,16,32
81038,2014-02-21,21,February,2014,33,Young Adults (25-34),F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,25,1,4,71,25,96
2633,2014-05-26,26,May,2014,29,Young Adults (25-34),F,France,Nord,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5,66,56,122
59352,2013-12-31,31,December,2013,32,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,763,2171,2934
39558,2014-04-05,4,May,2014,48,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",12,13,35,256,156,412
68686,2014-04-28,28,April,2014,26,Young Adults (25-34),M,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 58",1,1555,2443,864,1555,2419
1574,2015-09-13,13,September,2015,30,Young Adults (25-34),M,Australia,Tasmania,Accessories,Bottles and Cages,Mountain Bottle Cage,22,4,10,90,88,178
39171,2016-07-02,7,February,2016,19,Youth (<25),M,Australia,South Australia,Accessories,Helmets,"Sport-100 Helmet, Red",2,13,35,31,26,57
31129,2016-02-16,16,February,2016,33,Young Adults (25-34),M,Germany,Hessen,Accessories,Helmets,"Sport-100 Helmet, Red",6,13,35,117,78,195
48212,2014-05-29,29,May,2014,27,Young Adults (25-34),M,Australia,South Australia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",1,42,54,2,42,44
41241,2015-04-10,4,October,2015,34,Young Adults (25-34),F,France,Seine Saint Denis,Accessories,Helmets,"Sport-100 Helmet, Black",3,13,35,47,39,86
91427,2015-08-18,18,August,2015,24,Youth (<25),F,France,Seine Saint Denis,Accessories,Tires and Tubes,ML Road Tire,30,9,25,345,270,615
26561,2016-02-28,28,February,2016,27,Young Adults (25-34),M,Australia,Queensland,Accessories,Fenders,Fender Set - Mountain,7,8,22,73,56,129
28542,2014-03-03,3,March,2014,35,Adults (35-64),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, S",11,9,24,162,99,261
19864,2013-09-25,25,September,2013,34,Young Adults (25-34),M,Canada,British Columbia,Clothing,Caps,AWC Logo Cap,6,7,9,11,42,53
89401,2015-08-22,22,August,2015,37,Adults (35-64),F,Australia,Queensland,Accessories,Tires and Tubes,HL Road Tire,12,12,33,189,144,333
107712,2014-02-05,2,May,2014,28,Young Adults (25-34),M,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,11,1,2,6,11,17
67063,2016-06-04,6,April,2016,36,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,1371,2171,3542
8277,2014-05-15,15,May,2014,20,Youth (<25),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,17,12,29
81476,2016-05-30,30,May,2016,43,Adults (35-64),M,Germany,Hamburg,Accessories,Tires and Tubes,HL Road Tire,23,12,33,430,276,706
